,value
486,-0.5
487,-0.5
488,-0.5
489,-0.5
490,-0.5
491,-0.5
492,-0.5
493,-0.5
494,-0.5
495,-0.5
496,-0.5
497,-0.5
498,-0.5
499,-0.5
