,id,comment,contents
20,  Project 이엔,무언가를 많이 알고 전문적일수록 명확하게 딱 잘라서 답을 내는게 점점 어려우니까 삼성폰에 대해서 참 복합적인 평가가 나오는군요,UNDERkg
21,  Scarf C.,정말 이 이후로 쇄신하지 못하면 갤럭시 시리즈에서 유의미하게 경쟁력을 가질 제품군은 폴더블밖에 안 남지 않을까 싶기도 하네요. 말씀하신 것처럼 페이나 통화녹음같이 국내에서 필요로 하는 특수한 기능들이 다른 폰들에는 영원히 나오지 말라는 법도 없으니까요.,UNDERkg
22,  Jin,"기기의 모자람보다, 소비자를 대놓고 기만하고 무시하는 삼성이 문제라고 생각합니다.아, 그리고 리뷰중에 ''삼성페이,통화녹음 때문에 인질로 잡혀서 이걸 쓴다'' 라는 부분은 크게 공감되네요.",UNDERkg
23,  수습생,"S21 때도 해상도 하락,SD카드 슬롯 제거,램 용량 하락도 어영부영 넘어간 것 같은데 이번 사태로 실망이 크네요.. 내년에도 원가절감 투성이인 플래그십이 된다면 정말 갤럭시 못쓸것 같네요",UNDERkg
24,  radhood lee,"두목님 말씀처럼 칩셋 성능이 안좋다고 무조건 안좋다고는 할 수 없지만... 지금의 삼성처럼 자존심 세우면서 듀얼심 빼고, 충전기 빼고 하는 자세는 이제는 힘들겠죠...이전에는 애플 삼성 투탑으로 비교하며 봤다면 이제 삼성은 여타 다른 중국 제조사와 같은 위치에서 평가될 것 같네요",UNDERkg
25,  정상민,노씨 재신임 했다는거부터가 삼성은 이 과도한 원가절감을 고칠생각이 없다는걸로 보임. 지금도 그냥 안드로이드 진영에서 이만한 폰은 없다고 생각해서 쓰는데 계속 이따위로 굴면 다른 브랜드를 찾아나서야지 어쩔수가 없다.,UNDERkg
26,  ALICE,s10+ 출시 된지 좀 지났지만 정말 만족하면서 사용하고 있었습니다 디자인도 취향이였고 무엇보다 기능대비 무게가 정말 가벼워서 이것이 플래그쉽이지 하고 썼는데 점점 삼성의 대응도 만족스럽지 않게되어가고 아이폰이라는 대안이 생각나는 시점에 gos가 터지고 그것에 대처하는 삼성을 보고서 바로 아이폰으로 넘어갔습니다 사람마다 중요하게 생각하는 포인트는 다 다르겠지만 삼성 스마트폰을 10년 넘게 사용하면서 너무 실망했고 아이폰이라고 애플이라고 엄청 좋다고는 못하지만 앞으로 다시는 돌아가지 않을거라고 생각합니다,UNDERkg
27,  fox hslee,"솔직히 s20 시리즈도 출시 당시에 평이 그렇게까지 좋은 기기가 아니었는데 노트 20, s21, s22까지 신제품 나올 때마다 이전 기기들이 재평가 받는게 참 아이러니합니다...애플은 애플페이까지야 그렇다 칠 수 있어도 통화녹음 넣어주면 꽤나 유의미하게 더 팔릴 것 같은데 아쉽네요...",UNDERkg
28,  CraZiness,"노태문의 원가절감 정책 버리고, 전성기 시절 좋은 구매 사후 지원과 혁신, 진정성을 되찾길 바랍니다. 충전기,이어폰 뺀 데다가 성능 조작이라니 왜 자꾸 애플의 안 좋은 점만 닮아갈까요..굳이 혁신을 챙기지 않아도 불안정한 기술을 잘 다듬어서 타사 대비 좋은 품질을 제공한다면 그것 또한 구매점이 될 수 있는데 안타깝습니다.",UNDERkg
29,  Dokgodie,삼성폰은 폰이 느려지면 이제는 '설마 일부러?' 이런 의심부터 가기 때문에 바로 이 점이 가장 무서운 고객의 신뢰를 잃어버린 점임. 근데 이걸 해소를 전혀 안 시켜주고 그냥 넘어감ㄷㄷㄷ 이거 앞으로 살 수 있겠어?,UNDERkg
30,  Yee,"울트라도 멀쩡하진 못한데 성능 발열 음질 등등...근데 생각보다 비평이 약한건 한국 플래그십 시장의 특수성도 고려하신듯한데과연 이거보다 더 떨어지고 문제 많은 기본형, 플러스 리뷰는 어떨지 궁금...",UNDERkg
31,  Youjin Jeong,사전예약으로 22U 512GB 사서 쓰고있는데 N10+서 넘어온 입장으로서는 참..나쁘지는 않은데 나쁜 점도 있는 미묘한 기기네요 ㅋㅋㅋ카메라 10배망원이 참 만족스러운데 거기에 GOS로 통수를;;외장메모리도 빼버린게 좀 아쉽더라고요...1테라 외장메모리 쓰고있었는데...S펜에 인질로 잡힌 사람으로서 노트만 보고 삼성 쓰는건데 참...미묘하네오 ㅋㅋㅋ아 기본광각 화각이 상당히 넓은것도 조금 아쉽긴 합니다. 3배망원 환산화각이 35mm 표준화각보다 좀 좁은데 종종 기본광각으로 찍는거보다 3배망원으로 살짝 멀리서 찍는게 더 나아보이는 경우도 있어서...,UNDERkg
32,  미라티,"13:49 ""아마 저를 포함해서 팬들의 한계도 여기까지지 않을까 싶어요. 다음 기종에서는 보조금 살포해서가 아니라 정말 사고 싶어서, 정말 그럴만한 가치가 있는 플래그십이 나오지 않으면 갤럭시 크게 곤란해질 거라고 봅니다."" 지금 상황을 잘 정리한 한 마디입니다. S10때만 해도 삼성 입장에서 실적은 낮았지만은, 소비자 입장에서 제품이 정말 멋지고, 설레고 그런 적이 있었단 말이죠. 굿굿...",UNDERkg
33,  Tenor Ko,아는 분이 LG폰 쓰다가 망가져서 어쩔 수 없이 삼성폰을 사야 되는데 대리점에서 사용 패턴을 고려해서 A52s를 추천해줬다더군요. 하드하게 쓸 거 아니면 비싼 돈 주고 논란의 S22 시리즈 쓰느니 차라리 적당한 가격의 A52s 정도로 가는 게 낫다고 느꼈는데 대리점 직원분 센스 칭찬해...영상 말미의 일침이 부디 삼성에게 닿기를 바랍니다ㅠ,UNDERkg
34,  dora hi,소비자들이 참아줄 수 있는 한계는 여기까지라는 말에 매우 공감합니다. 아끼고 사랑해주려고 하다가도 뭐 하나씩 삐끗하는 이놈들 젭알^^... 부끄럽지 않게 쓰게 해줘....,UNDERkg
35,  kaka Edu,저도 이번에 s22울트라 512를 155주고 구매해서 쓰는 중에 이미지가 개박살이 나서 갑자기 안좋은폰이라는 인식이 생겨서 되게 속상하고언케님이 이걸 어떻게 리뷰하실지 굉장히 궁금했는데 정말 깔끔하게 장점은 장점대로 단점은 단점대로 잘 설명해주셔서 제폰이 그렇게 나쁘진 않다는 생각이 드네요.....다행....(왜냐하면 전 아이폰에서 넘어온 케이스라 아이폰보다는 전반적으로 경험이 더 만족스러웠는데 그렇지 않다는 사람이 많아서 조금 놀랬음),UNDERkg
36,  Paul Cho,삼성이 인텔 망테크 탈때를 따라가는 것 같습니다. 어차피 아이폰 따라가는건 불가능이고 안드로이드쪽에서는 다른 대안이 없으니 폰 가격은 올리고 원가절감하고 성능은 눈속임 시키고..... 그나마 인텔은 그동안 돈이라도 많이 벌었던것 R&D에 쏟아부으면 AMD랑 경쟁이라도 하겠지만 삼성은 그렇게 쏟아부을 돈이라도 있는지 모르겠네요. 뭐 스냅드래곤 다음 버젼이 TSMC에서 만들어지면 발열 잡을라나? 여기서 해결책 못 내면삼성위기가 현실화되겠죠. 진짜 폰 오지게 비싸네.....,UNDERkg
37,  안뇽도롱뇽,삼성은 사실상 다음 기종까지가 마지막 기회라고 봄. 다음에도 이번처럼 아끼는 짓 했다가는 삼성은 지금까지의 위상을 유지하기 매우 힘들어질거다. 모바일 사업부 손해를 감수하고서라도 제발 아끼지 말고 좀 넣을건 넣었으면.,UNDERkg
38,  황현준,"잘 짚어주셨네요. 저도 샀는데, 못 써먹을 물건이 아닌건 확실하고, 만족하면서 잘 쓰고 있습니다만 145만원 주고 사전예약까지 해서 산 제품인거 치고는 기분이 별로 좋지 않습니다. 앞으로 삼성폰은 좀 더 신중하게 사게 될 거 같네요. 앞으로도 이런식이면 아마 더 안살거고요.",UNDERkg
39,  다가나,상세 리뷰 점수에서 퍼포먼스 점수를 뺀 점수가 대략 8.4점이네요. gos만 아니었더라면 꽤 괜찮은 기기로 평가 받을텐데 참 씁쓸합니다,UNDERkg
40,  TOMA TO,이번에 갤22 구매하면서 느끼는건데...삼성도 엘지랑 비슷한 짓하고 있네요. 뭔가 문제가 생기면 공시지원금 올려줘서 빨리 처분하고사전 예약한 사람들 엿먹이는 그런짓....국산도 좋지만...평생 안드로이드만 쓰는중인데....다른 폰도 생각해둬야겠네요. 픽셀이나 모토로라나... 칩셉 걱정하면서 핸드폰 사는 날이 오네...g4쓸때도 이정도로 우울하진 않았는데...,UNDERkg
41,  신스네이크,애플 칩이 아무래도 너무 앞서 있다 보니까..  현실적으로 따라잡긴 힘들고 갤럭시 폴드 플립 처럼 이런 신기술로 승부 보면 충분히 경쟁력 있다고 봄. 분명히 폴드랑 플립 처음 등장 했을때.세계에서 엄청나게 극찬 했었지. 삼성은 삼성만의 신기술로,UNDERkg
42,  hs,"칩셋성능은 게임에만 쓰이는게 아닙니다. 사진 후처리, 동영상 실시간 보정, 유튜브 재생, 카카오톡, 인스타그램 등등 사용하는 모든 부분에서 영향을 주는게 칩셋입니다. 그럼에도 불구하고 꼭 사야만 한다면 절대로 정가주고는 사지마세요 공시지원금 점점 올라가고있습니다.",UNDERkg
43,  Dawoon,모바일 사업부 엑소더스 이야기도 들어서내년엔 더 좋은게 나올거란 확신이 안드네요어쩌면 작년이 정점이었고 올해부터 내리막길은 아니길 빌어야할듯,UNDERkg
44,  Tech Ryan,진짜 국내 경쟁사가 없는게 너무나도 안타깝습니다... 엘지 모바일 사업 철수한거도 그렇고 너무나도 안타까운 상황 ㅠㅠ,UNDERkg
45,  ᄋᄋᄋ,gos터졌을때 삼성 공식답변이 대충 안전에는 타협없으니 아무리 지껄여봐야 소용없으니 그냥쓰세요 ㅅㄱ 했던게 레전드 ㅋㅋㅋ 이말 나오기전까진 그래도 삼성인데 조치 해주겠지 하면서 삼성믿었던 갤럭시오너들 저 말이후에  급격하게 여론이 나락으로감ㅋㅋㅋ  삼성도 그제서야 심각한문제라  느꼈는지 온오프 가능하게 패치 거기다 no태문은 정작 뿔나있는 소비자가 아닌 임직원들한테 사과문 ㅋㅋㅋㅋㅋㅋㅋ,UNDERkg
46,  Jackon SONG,대안이 없어서 갤22플러스 쿠팡자급제 83쯤 구매했는데 특가열차 잘타기도 했고 딱 말씀하신것처럼 플래그십다운 마감/기능/카메라 부분은 매우 만족.. 그러나 다음에도 갤럭시를 간다면 사전예약은 안할거같네요 ㅋㅋ,UNDERkg
47,  U kim,사용하면서 느꼈던 생각을 다 말씀해주시니 시원하네요 전 노트9쓰다가 s22로 갈아탔는데 이쁜맛에 좀 쓰다가 현재는 다시 노트가 메인폰이되고 s22가 서브폰이 되어있네요 제가 뽑기를 잘못한건지 몰라도 뱅킹 어플이 수시로 계속 꺼지고 노래를 켜도 끊김 현상이 종종 나오는게 너무 거슬리더라구요 갤s2 시절부터 쭈욱 써왔는데 진짜 이제 다른곳에서 괜찮은폰 나오면 바로 갈아탈정도로 이제 놓아줄때가 된거같습니다 삼성...,UNDERkg
48,  Touch ID,"""너무 완벽해서 솔직히 정은 안 가는 삼성의 역작""이라는 소리까지 들었던 S7 시절의 영광은 어디로 갔는지 모르겠네요..",UNDERkg
49,  Apple Lee,확실히 저도 출시 전에는 노트를 다시 만날 수 있어! 하는 마음으로 엄청 기대했는데 으음... 막상 실물 보고 나니까 펜 느낌이랑 뭔가 미묘하게 기대보다 아쉬워서 못사겠더라고요.,UNDERkg
50,  이은혁,지금은 보급형 레전드인 A52S 쓰고있지만 추후 23이나 24시리즈엔 좀 소비자 맘 다시 돌릴 수 있도록 좋은제품좀 나오길,UNDERkg
51,  파잉,"기기 자체는 균형잡혔고 크게 모난부분 없고 기능도 부족함 없이 울트라 이름답게 넣은 제품으로 생각됩니다. 부담스런 무게만 아니었으면 지금 제손에 들려있었을지도 모르겠어요.GOS는 삼성의 고객기만 언행이 더 문제였다고 봅니다. 그건 그거고, 기능 자체가 실사용에 막 아주 불편을 야기하겠냐 하면... 애매모호해요. 전반적으로 좋은 제품인건 맞다고 보기 때문에, 누가 물어보면 크게 말리지는 않고 사도 괜찮다 할거 같습니다.다만 옆동네에서 기술력이 아니라 배짱질만 배워왔는지 요즘 갤럭시 제품 자체의 메리트는 그냥저냥인 주제에 모바일 사업부가 예전보다 콧대높게 구는 모습이 굉장히 맘에 안들어요. 슬슬 국내시장에 안드폰 경쟁자들이 다시 생겨야 할거 같다는 생각은 듭니다",UNDERkg
52,  Goo Lee,팬들의 한계가 여기까지다… 전 한계를 넘었다고 생각해서 아이폰으로 갈아탔습니다. 진짜 이번 사건들은 너무 화가나서 못사겠더라고요. 믿었던 친구한테 배신당하는 느낌…,UNDERkg
53,  내년엔우승하겠지,S20출시했을때 타이밍 좋게 전에 쓰던 S8+가 고장이 나서 바로 울트라 구매했었는데 이게 이렇게 재평가가 되네요. 슬슬 폰 바꿀 타이밍인데 1년만 더 존버하렵니다. 그때도 비슷하면 바로 아이폰으로 넘어가야지.,UNDERkg
54,  홍들짝,성능도 성능인데 고객을 속인게 제일 용서 안되는 부분. 통화녹음용 전화기로 굳이 플래그십을 살 이유는 없음. 그리고 통화녹음용을 굳이 삼성꺼로 써야만 할 이유도 없음. 쌓아온 신뢰를 무너뜨려주시니 싸늘한 가성비 계산만 남음.,UNDERkg
55,  윤준식,아이폰을 제외하고 샤오미 모토로라 노키아같은 브랜드에서 국내시장에 플래그십을 훨씬 저렴하게 내놔도 결국엔 다 갤럭시로 가지 않을까 싶네요,UNDERkg
56,  로엘's channel,드디어 나왔군요... 리뷰까지의 긴 텀은 아마 두목님의 고뇌를 엿볼 수 있었을 거라 생각됩니다...ㅋㅋ여튼 리뷰가 나왔으니 잘보고 가도록 하겠습니다!아참 그리고 공시지원금 왕창 받고 이거 사신 분들 아마 여러분들이...승자 일걸요?(새폰 나온다고 좋다고 ㅎ헤ㅔㅎ헤헤 거리면서 사전예약한 어느 1인의 말...(나잖아?)),UNDERkg
57,  Bluesky,선택권이 없다는 점이 오히려 괘씸해요. ㅠㅠ 노씨 재신임 소식까지 듣고... 거기다 그 의결수까지 보니 있던 정 없던 정 다 떨어졌습니다. 대응은 그따위로 하고 책임지는 사람도 없고 후속 대응조차 어정쩡하게 해놓고 기사 내면서 열심히 덮으려고 하더군요. 판매량이 어쩌고 GOS를 털어내고 어쩌고 하면서 ㅎㅎ... 초등학생 시절부터 삼성 애니콜을 시작으로 지금까지 써왔는데 이젠 넘어갈 때가 된 것 같아요...... 아버지가 삼성 다니시면서 어릴적 제게 들려줬던 삼성의 정신과 신념들이 지금은 다 어디갔나 싶네요. 착잡하면서도 씁쓸합니다.,UNDERkg
58,  T OE,디멘시티 탑재한 최신폰들의 스펙이 스냅드래곤 이상으로 나오고 있는 상황에서 수율문제있는 엑시노스 사용하는 삼성폰은 이대로는 정말 미래가 없어보이네요.,UNDERkg
59,  Jungmook Kang,S21때 그 난리가 나고 설마 또 그러겠냐는 심정으로 S22+로 구매한 유저입니다 그런데 성능문제도 그렇고 간간히 인터넷도 끊기고 리듬게임하면 터치가 씹힌다거나 초기에 화면이 깜빡거린다거나 하는 기본도 안된 부분에서 실망도 크고 무엇보다 앞으로 뭐가 나오든 기대가 안되네요,UNDERkg
60,  안병욱,기술의 삼성은 옛말. 이제는 부족한 기술을 술수를 부려서 가릴려고 애쓰는 게 마지막 LG의 그것을 연상케함,UNDERkg
61,  김강수,정말 진심어린 리뷰 잘 봤습니다!,UNDERkg
62,  락참치,"저 역시 통화녹음 때문에 안드로이드폰을 쓰는 입장입니다. 삼성페이가 너무 편하긴 하지만 요즘은 네이버페이(QR)를 더 자주 쓰는거 같네요.어쨌든 갤럭시는 ONE UI 로 인해 SW는 많이 따라와 줬는데, HW가 발목을 이렇게 잡을 줄은 몰랐네요. 정말 정신 차려야 할 거 같습니다.",UNDERkg
63,  KEYSER SOZE,진짜 올해 가장 후회스러운 일이 S22U 사전예약으로 구매한거다시 팔려고 해보니 출시후 겨우 2달 지났는데 이미 신품도 가격 엄청 다운되서 중고로 팔려니깐 구매가의 반도 못 건짐그냥 마지막 갤럭시다 생각하고 쓸 예정임다시는 갤럭시 쓸 일 없을듯,UNDERkg
64,  이효은,"기능은 솔직히 잘 모르는 편이긴하지만...디자인은 개인적으로 잘 뽑았다 생각합니다 아이폰은 딱 봤을때 ""귀엽다"" 혹은 ""예쁘다""라면 S22 울트라는 멋있다라는말이 나오는 폰인거같아요",UNDERkg
65,  류밥ryubab,노트9에서 처음으로 시전예약이란걸 통해 22울트라 샀는데 뒤통수가 많이 얼얼했어요. 서둘로 중고로 팔고 아이폰 갈아탔는데 삼페 없는건 분명 불편하지만 다른 모든건 만족하며 씁니다. 다시 돌아갈 날이 있을지는 모르겠네요,UNDERkg
66,  대호TV,삼성이 스스로 버린 플레그십..경쟁상대가 없는 저품질 기기로 가지않길,UNDERkg
67,  손수그린물고기,"현실적으로 회사들이 ""아 그래서 안살꺼냐고 ㅋㅋㅋ"" 이러는것 같다 우리나라에도 더 많은 제조사들이 들어와야한다 경쟁이 있어야 뭐라도 돼지 특히 우리나라 처럼 플래그쉽 많이 팔리는 나라에서는",UNDERkg
68,  Juny,노트 20 울트라 1년 반 쓰다 S22 울트라로 넘어와서 2달반 써본결과 성능은 GOS 문제있어도 그래파인 쿨링 달린 케이스 쓰니깐 확실히 sd865 보단 sd8gen1이 빠르더라구요. 전 S22 울트라 쓰면서 딱 한가지 실망한게 배터리 충전 속도 같아요. 45와트나 25와트나 충전속도 차이가 거의 없어요...,UNDERkg
69,  Lee Gang Jeong,"갤S22울트라 사용자임을 밝히면서 솔직히 여기에 나오지는 않았지만, 폰 사용하면서 충전 시 45W충전이 안 된다는 점과 알 수 없는 프레임 드랍(유튜브 댓글 보던 중 발생) 현상도 있고,  밝기 최적화를 해뒀을 때 폰 스스로 햇빛 밑에서 밝기 조절을 제대로 하지 못 하고 밝아졌다 어두워졌다 반복하는 현상 등 여러 문제가 있는 잘못 만들어진 폰 같습니다.카메라와 화면은 만족하면서 쓰고있지만, 저런 몇몇 점이 사용하면서 불편함을 주더라고요. 플래그쉽을 샀다는 만족감이 0.2정도 들고 있습니다.",UNDERkg
70,  좌파붉은땅,와 근데 플래그쉽 성능 내라고 만든 기기가 플래그쉽 기능을 기대할 수 없다는 평가는 진짜 치욕인듯 ㅋㅋ,UNDERkg
71,  퍽토바잉,"본인 원래 2~3년 단위로 갤럭시랑 아이폰 번갈아가면서 쓰지만 S20 이후로는 그냥 아이폰에 정착해버림 … 처음엔 디자인이었고, 그 다음은 성능 그리고 이해할 수 없는 부분에서의 원가절감 등등 진짜 정털리는거 같음 친구가 쓰는 보급폰도 써봤는데 디자인은 둘째치고 최적화 끝내주더라 ㅋㅋ 진짜 ꖶዞ 이러는지 모르겠음",UNDERkg
72,  유정우,쭉 갤럭시만 쓰다가 이번에 실망이 너무 커서 그냥 아이폰13프맥 사서 잘 쓰고 있습니다. 원래 폴드2를 썻는데 S22울트라가 이래버래니 폴드4도 기대가 팍 식어버렸어요. 원가절감도 적당히 해야지,UNDERkg
73,  티몬도,"저도 S22+ 사전예약으로 구매하고 실물 들고다니면서 아는지인들한테 자랑하고 다녔었는데 gos사태 터지고 배신감과 사전예약을한 자괴감까지 겹쳐 구매취소할까도 생각 했지만... 그놈의 삼페통녹의 인질과 갤워치,버즈,탭s7 도 사용중이라 일단은 쓰기로 했습니다. ㅠㅠ",UNDERkg
74,  JS,예전처럼 LG가 살아있다면 모를까 경쟁 상대가 없으니까 더 괘씸함,UNDERkg
75,  Daru,게이머로서 솔직히 반값하는 아이패드미니6 보다 게임성능안나오면 좀 실망 스럽긴하죠....그래도 뭐 크기랑 성능은 꽤꽤좋으니 사고싶으면 사셔도 후회는 없을폰 ㄹㅇㅋㅋ.....,UNDERkg
76,  박형준,"이슈가 있고 그 가격에 상응하는 폰인지 의문이 들지만 진짜 말씀하셨던 삼성페이, 통화녹음뿐만 아니라 아이폰에서는 비교적 번거로운 윈도우와의 연동성, 그동안 갤럭시를 사용해왔던 사용자의 편의성등 때문에  소비자 입장에서는 대체제가 없다는 것이 크게 공감하였습니다",UNDERkg
77,  구몽선생,20노울쓰다가 옮겨간 사람들 좋다고 난리던데 저는 많이 실망스럽더군요..안드로이드 플래그십 경쟁 제품이 없다는 게 참 안타깝습니다..,UNDERkg
78,  T다원,고동진 신종균이 신제품 발표할때가 갤럭시는  항상 발전하는 구나 다음 제품도 기다려진다 인데 노태문일때는 다음제품이 안 기다려진다 그냥 무슨 꼼수를 부려서 제품을 또 낼까? 하는 생각이 든다.다음  갤럭시s23 나올때도 또 개판으로 나오면 이젠 아이폰을 사야겠다.삼성주식도 같이 정리할 생각이 듬.,UNDERkg
79,  에프민,갤럭시는 매년 가면 갈수록 다시보니 선녀같다를 반복중인데 S23이라고 해서 크게 다를지 참... 필요하다면 굳이 존버하지 않고 바로 바꾸는 게 가장 좋은 선택일듯,UNDERkg
80,  JB L,예전 삼성은 완성도가 있고 성능이나 내구도가 어느정도 받춰져서 믿고 오래쓸수 있는 이름이었는데 가면갈수록 나사빠진거 마냥 뭐가 안되고 뜨거워지고 느리고 이슈가 있고 암튼 lg폰같은 불안함 같은게 생겼음,UNDERkg
81,  ambitious choi,S22U 쓰는 입장에서 만족감과 배신감이 공존하는 희한한 감정이 공존함. 그렇다고 안드로이드 플래그쉽 대안이 한국에 없어서...  픽셀만 정발되봐라 기만전자...ㅂㄷㅂㄷ,UNDERkg
82,  민창훈,컴퓨터를 맥으로 이동하면서 탭이나 폰 워치는 삼성으로 계속 혼종으로 살것인지 아니면 그냥 넘어갈지 고민이던 시점에서 GOS는 신뢰의 큰 한방이였습니다. 내년에 아이폰으로 넘어가게 되면 모든 부가 기기들도 하나씩 옮길 예정입니다. 통화녹음과 삼성페이는 아쉽지만 얻는게 있다면 잃는것도 있는게 당연한거라 봅니다.,UNDERkg
83,  담백한인생,"2022년 100만원 넘어가는 플래그십을 성능 떨어지는거 감안하고 사용할 이유가 고작 삼성 페이, 통화 녹음 때문이라면 더더욱 살 이유가 없어지네요. 갤럭시 A52s 같은 중저가 가성비폰을 구할 수 밖에요. 아 그래서 이번년도 A 라인업이 퀀텀3까지도 작년보다 성능 너프시킨건가....",UNDERkg
84,  BSK,정말 공감합니다.. 삼성페이? 지갑 들고다니면서 울며 겨자먹기로 포기하겠는데 통화녹음은 진짜 녹음기들고다니면서 스피커폰으로 통화할수가 없잖아요... 구매해놓고도 찝찝한 '150만원상당'의 '플래그쉽'폰,UNDERkg
85,  C G,삼성은 진짜 마진을 조금만 잠시만 내려놓고 신뢰와 명성을 다시 찾아줬으면 좋겠음... 원가절감말고 정말 삿을때 너무너무너무 만족하는 기계를 만들어주길...,UNDERkg
86,  경주4층,"드디어 리뷰가 올라왔다.다들 안하고 발 빼는데, 고생 많으셨습니다.",UNDERkg
87,  최강산,"진짜 두목님이 말한, 마지막 말'갤럭시 러버들, 버티는거. 인제는 한계다' 이거 절대공감",UNDERkg
