,id,comment,contents
15,  Doe G John,"5년동안 버텨주던 엘지폰이 슬슬 수명이 다 되어 가는 와중에 요새는 참 고민이 깊네요.삼성으로 가려고 하니, 여러 문제점들이 자꾸 대두되고..애플로 가자니 익숙하지 않아서 문제고..13프로와 S21+사이에서 고민이 되네요. 차라리 좀 더 기다렸다가 S22 출시 소식을 보고 고를까 싶기도 하고.근데 요즘 삼성 행보가 영 마음에 안 들어서 참.. 엘지가 좀 더 버텨줬으면 좋았을 텐데.",ITSub
16,  ilill 1i,고민하다가 잇섭님 영상보고 8+에서 13으로 바꿨어요~~ 8플 200그램 넘어서 항상 손목 아팠는데 드디어 가벼운 폰으로 바꿨네요!! 4년만에 폰바꾸는거라 엄청 좋게 느껴질 듯 하네용 홈버튼 없는거 적응이 제일 걱정이예요ㅋㅋㅋㅋ,ITSub
17,  김뽀끼,13이랑 13프로 비교 이렇게 자세하게 하는 영상기다렸어요!!!ㅠㅠㅠ 핑크 때문에 13 주문했는데 성능차이 때문에 프로로 바꿀까 고민 중에 큰 도움이 되었습니다. 감사합니다!!,ITSub
18,  나는기둘기,뭐 잘 모르고 쓰는 일반인에게는 13도 충분히 빠르고 부드럽고 사진 잘 찍히고 좋더라고요 ㅎㅎ 12프로에서 13으로 넘어갔는데 충분히 만족합니다!,ITSub
19,  -HANBINIZM-,"직접 만져보니, 카메라보다 주사율의 차이에서 확실히 프로 답다는 느낌이 들더군요. 👍",ITSub
20,  Rein,11 64g쓰다가 프맥 256g로 왔는데 너무 좋네요. 배터리체감도 되고 화면도 선명하고ㅋㅋ 굳이 단점이라면 카메라가 너무커져서 약간 부담스러운 정도? 그외에는 너무 좋습니다,ITSub
21,  YUN'S,갤럭시 폴드2 쓰다가 아이폰 13프로맥스로 갈아탔는데 카툭튀는 폴드2가 더 심하다고 느껴서 이정도면 괜찮은데라고 생각함 디지인도 폴드보다 이쁘고요 ㅎㅎ,ITSub
22,  이현범,매장에서 프로랑 일반 둘을 비교할땐 너무 끊겨보여서 120주사율이 탐나긴했는데 일반만 집에와서 사용하게되니 60도 괜찮아졌음..애초에 카메라 크기가 너무커서 일반으로 선택했었던건데..디자인적으로나 일반정도의 성능일지라도 충분히 과분한사양이므로 잘한선택이었다고 봄.,ITSub
23,  LawLiet,13으로 13 vs 13 pro 비교 영상보기 34만원 차이 치고는 엄청난 이점이랄게 없어 보여서 13 샀는데 120hz가 또 걸리긴 하네요,ITSub
24,  leeyuu,지금 11쓰고있는데 손에 그립감을 따졌을땐 크기가 작은 13미니가 좋고카메라 확대되는거생각하면 프로가 좋아서 고민중이였는데이렇게 비교해주셔서 도움많이되네요🥰,ITSub
25,  Dongwook Lee,8+에서 13프로로 엊그제 넘어왔어요. 애플 클리어케이스도 같이 쓰는데 케이스도 카툭튀보호때문에 튀어나와서 당황ㅋㅋㅋ 그래서 바닥에 놓고 쓸땐 맥세이프 지갑놓고 써요ㅎㅎㅎ,ITSub
26,  최지인,기능 차이를 보고 구매하는것도 있겠지만 어떻게 보면 크기와 색상이 본인 취향에 가까운것 보고 구매하시는듯 해요 전 기다리기 싫어서 바로 구매 가능한 13 블루 했는데.블루 너무 에뻐요 ㅠㅠ♡,ITSub
27,  아무,이미 13예약걸고 보는 영상이지만 접사에서 13 과 13pro 차이가 명확하게 나는것 보고 더 생각안하고 13pro로 예약했어요. 프로세스 측면과 무게면에서 메리트없다는건 좀 슬프지만 13은 접사를 못잡아내더라구요...,ITSub
28,  준,"이미 13 일반 받아서 쓰고 있는데 120hz, 색상, 카메라 정도 말고는 일반간다고 손해볼거 딱히 없음 갠적으로 실용성이랑 디자인 중요시하는 편인데 저 세개 정말 포기못한다 아니면 일반가는게 합리적일수도있음",ITSub
29,  Kim Rubén,그동안 아이폰을 한번도 안써봐서 이번에 세컨폰으로 아이폰을 처음 구매해보려고 하는데.. 이미 갤럭시S21 120Hz를 경험해버려서 너무 고민되네요.. 서브폰이니까 당연히 미니면 충분하겠지 했는데 매장가서 아이폰12 만져보니 60Hz 역체감이 생각보다 심해서 ㅠㅠㅠ 기왕 아이폰 써보는거 프로로 한번 제대로 써보는게 나으려나... 하면서 애플의 상술에 말려들고 있네요...,ITSub
30,  Dolmeng,13이랑 13프로랑 고민했었는데 가벼운거 좋아하기도하고 13 카메라도 충분히 좋아보여서 드뎌 13으로 결정했어요!! 그리고 비교영상 도움됐어요 감사합니당 ~~,ITSub
31,  ? Drugnoru,인생 첫  아이폰을 잇섭님영상보고 프로맥스로 구매하게  되었습니다. 이거좋아요 하면서 추천해주는거보다 단점을 짚어주는 리뷰덕분에 구매할때. 도움이 되었습니다.아이패드프로 11인치도 6월에 사고 엄청 잘쓰고있는데 프맥도  만족스러워서 정말 좋은 리뷰감사드립니다,ITSub
32,  정규원,갤S9 쓰다가 이번에 이 영상보고 13으로 바꿨습니다 ㅎㅎ저는 오히려 취미로 사진도 찍고 편집도 하지만 프리즈비가서 만져본 결과 카메라섬이 너무 걸리적거리더라구요.. 그래서 어차피 S9에서 갈아타는거라 일반 아이폰13도 충분히 오버스펙이어서 일반모델로 결정했습니다 ㅎㅎ영상 정말 많은 도움이 되었고 앞으로도 좋은영상 부탁드립니다 ㅎㅎ,ITSub
33,  ᄋᄋᄋ,프로 기능만큼의 가벼운 폰을 만들어 줬으면 좋겠다 ㅠㅠ 미니와 프로를 합친 그런 폰 프로로 넘어가고 싶어도 비싼건 둘째치고 넘 무거워,ITSub
34,  Shane Hahn,디테일한 영상 감사합니다. 잘 봤습니다. 시멘트 블루가 색상이 좋은듯하지만 핑크랑 놓으니 안습이라 핑크를 사왔습니다 ㅎ 빛반사 각도에 따라서 색깔이 영... 칙칙하고 시멘트같더라구요.,ITSub
35,  보름달,잇섭님!! 항상 너무 유용하게 정말 잘 보고있습니당!!!여쭤보고 싶은게 있는데요! 요즘 카메라 보호 강화유리라고해서 붙이면 라이다센서 사용에 영향을 미치나요?? 그리고 블랙링(?)이라고 해서 있으면 더 선명하게 찍힌다고하는데 그것도 맞나요? 이거에 대한 영상이나 글을 찾아볼 수 없는데 제일 믿을 수 있는 테크유튜버이신 잇섭님께 여쭤봅니다!,ITSub
36,  김선율,한참 고민하다가 오래 쓸 생각으로 pro구매 했습니다. 다들 무겁다고 걱정 많이 하시던데 전 전혀 못 느끼겠더라고요.. 사람마다 차이가 큰 것 같습니다s20+에서 넘어온거라 오히려 화면 크기가 좀 불편하네요 ㅠㅜ,ITSub
37,  바운스웨이,"14:57 노트9 쓰다가 이번에 13일반으로 갈아탔는데, 아이패드 에어 4세대가 있어서 그런지 프로 쓰면 오히려 역체감 문제가 생길거같아서 일반 선택한거 아주 만족하는 부분입니다 !물론 어제 도착한 아이폰 자체에 적응하는 시간은 별개로 필요하지만요ㅋㅋㅋ",ITSub
38,  온누리복지센터,이번에도 애플이 잘 만들었네요^^프로의 120헤르츠는 칭찬하지만 아직도 c-type 아닌 거는 아쉬움ㅠ,ITSub
39,  최서원,"잇섭님, 13과 13프로의 램차이가 2gb인데, 카메라 촬영 중 걸리는 렉이나 앱 리프레시 같은건 차이가 얼마나 나는지 알 수 있을까요?",ITSub
40,  Jun’s ch,"항상 좋은 정보 감사드립니다.저는 13프로를 정확히 7주일째 사용중인데, 어제 부주의라면 부주의랄까 의도치 않게 30-40센티 높이에서 낙하하는 사고가 있었습니다.애플스토어에서 구입과 동시에 정품 커버+보호강화유리필름으로 장착시켰지요.대단한 높이도 아닌데, 모서리쪽에 보호필름 크랙이 났더군요.뭐 이럴때를 대비한 소모품이라 생각하고 늘 보호필름을 구매하는 편이지만, 이게 뭔일인지 밑쪽으로 디스플레이 글래스에도 2미리 정도 크랙이 났더군요.아이폰3부터 현재까지 13년을 사용해 왔는데 전면디스플레이 글래스가 손상된건 처음이라 많이 당혹스러웠습니다.이전 잇섭님이 아이폰을 분해 하실때 일단 뚜따를 할 경우 방수 성능에 영향을 미칠수 있다는걸 언급급하셨는데, 그런것도 걱정되고 거금주고산걸 일주일만에 뚜껑을 따게만든 어이없는 경도의 글래스 내구성에 낙담을 하게 됩니다.일단 공식 서비스 센터에서 진단을 보고 방향을 결정하자는 서포터의 안내로 내일 예약을 잡아놨는데 어떻게 될지…스트레스(사실 오늘 예약이었는데 어제 너무 신경을 많이 써서 하루종일 기절해 있었음)자세히 보니 물리적으로 닿을수 없는 프레임쪽에도 미세하게 찍히듯 상처가 나있는데, 순정품보다 애프터마켓에서 판매하는 커버들이 훨씬 나은것 같습니다.강화보호필름한장에 한화로 6만원이 넘는데…싸구려 몇천원짜리 야매필름이 나은듯…암튼,일주일간 사용해 봤는데 개인적으로는 그냥 애플의 좋은 스마트폰을 원하면 13을 사시는게 맞고, 사진이랑 동영상에 환장하신 분들이면 13프로를 사시는게 맞다 봅니다.아참 프로는 왠만하면 512나 1테라를 사시길…",ITSub
41,  와아,오히려 전 카툭튀가 있는게 더 좋은 거 같아요.카툭튀가 아예 없는 V50 사용중인데 케이스도 없이 써서 뒤를 만지다 보면 카메라와 뒷판 사이 경계가 없기 때문에 본의아니게 카메라를 만지게 되는 경우가 많아 지문이 엄청 묻어요... 차라리 경계 있는게 더 나은듯해요,ITSub
42,  탱구탱,그나저나 갤럭시는 a52s도 120hz 디스플레이를 지원하는데..삼성의 이전 플래그쉽도 급나누기도 아쉬운 점이 많았지만 아이폰에 이번에 그 점이 많이 아쉬웠네요ㅜ,ITSub
43,  성치,잇섭님 항상 잘 보고있습니다~ 혹시 갤럭시 제품들이랑 애플 제품들 호환성 다뤄주실 수 있나요 ?? 이것저것 써보니.. 아이폰 버즈+갤워치 또는 갤럭시에 에어팟+애플워치 이렇게 호환이 잘 되는지 궁금해서요! 아예 못 쓸 정도인지 아니면 쓸만한지.. :),ITSub
44,  Aron J,딱 내가 고민했던 두 컬러네ㅎㅎ 나에겐 무게가 가장 중요했고 나중에 대폭 가벼워진 프로라인이 분명 나올거라서 그때 프로라인 가자며 이번엔 일반 핑꾸로 고름. 이쁘고 가볍고 잘~샀다~~ㅎㅎ,ITSub
45,  프로티니쭈읍쭈읍,아이폰 6s 아이폰x 7년쓰다 지플립3 호기심에 써봤다가 한달만에 탈출했습니다 진짜 아이폰은 한번 맛보니깐 빠져나올수가 없네요 기능은 갤럭시가 편의성이 좋을지 모르겠지만 성능이 압도적이라서 떠날수가 없네요,ITSub
46,  현,핸드폰 바꿀 생각없는대도 잇섭님 영상은 유익하고 재밌어서 클릭하게 돼요 잘봤습니다!,ITSub
47,  살려는드릴게,갤럭시에서 갈아탄 사람으로서 아이폰13 일반 너무 좋네요 카메라 미침 ㅠㅠ 일반인은 미니나 일반도 충분할 것 같아요,ITSub
48,  slkjfldjs sk,"프로를….사버럈다……..색 장난에 대한 불안도 있었고 (특히 보라색을 좋아하는 살람) 사진, 영상을 좋아해서 만족합니다 특히 XS에서 넘어와서 업데이트가 더더욱 잘 와닿아요하지만 무게를 좀 만만하게 본것 같긴해요…ㅎ",ITSub
49,  김로로,13pro가 평소에는 무거운 느낌은 딱히 안들고 괜찮은데 누워서 폰 위로 들어올리고 할 때는 좀 버거운 느낌이 있더라고요,ITSub
50,  권훈,잇섭님 샤오미 패드 5 랑 아이패드 비교분석 영상은 어떨까요? 개인적으로 샤오미 패드5가 이번에 AP칩셋만 빼면 잘나온거 같은데 고급형  태블릿인 아이패드랑 비교하면 어떨지 궁금합니다!,ITSub
51,  Twin C,잇섭님~ 13 시리즈 배터리 테스트 해주시면 안될까요? 13시리즈 안에서도 미니와 일반 프로.. 배터리 측정이 다 달라서 잇섭님의 배터리 영상도 볼 수 있으면 좋겠습니다!,ITSub
52,  아히,영상보고 바로 구매했습니다.😊🤭아이폰13프로 화이트 색상은 재고가 안풀려서 결국 아이폰 13 화이트로 주문했답니다ㅎ 갤럭시노트10에서 갈아타는데 노트만큼 프로가 무겁다는 말들때문에 무거운감없이 쓰고싶기도 하고 셀카만 잘나오면 되어서 바로 구매완료 했네요 2년이상 잘쓰길☺,ITSub
53,  공유에 미친 중3병 새끼,진짜 저둘이 ㄹㅇ 강적임 ㅋㅋ 미니는 학생들이 더 많이 쓰긴함 프로도 사용하는 애들 많고 갠적으로 난 걍 프로가 좋음 💓,ITSub
54,  Aaron Ko,"6:12 이 부분은 개발자가 직접 수정할 수 있습니다.실제로 애플 앱 디벨로퍼 가이드에도 개발자가 자유롭게 주사율을 수정할 수 있는 옵션을 준다고 나와 있습니다.다만 120hz는 최대한 “자제” 하라는 걸 보면, 120hz가 배터리 타임에 상당한 영향을 미치지 않을까 싶네요.",ITSub
55,  J,고민돼서 애플 매장 가서 실물 보고 왔어요~ 색상은 둘 다 이쁜데 아이폰 프로 들어보고 무게 차이가 꽤 나더라구욯ㅎ 손목 나갈거같아서 핑크 사려구용ㅎㅎㅎ,ITSub
56,  알콩달콩,적절한 설명과 비유를 잘보고 갑니다.정말 애플은 급나누기의 의미를잘알고 있네요.,ITSub
57,  Mistorm,충전기 관련해서는 어떤가요?아이폰xr쓰다가 아이폰13 기다리고 있는데원래 쓰고 있던 충전기랑 케이블 써도 상관없나요?아니면 바꾸는 게 낫나요?잇섭님 영상 너무너무 잘 보고 있습니당!단추 빵터졌어여ㅋㅋㅋ속이 시원시원해용💡,ITSub
58,  김준혁,잇섭형님 항상 잘보고잇습니다!!😍오래오래 영상 많이올려주세요!,ITSub
59,  민트초코,베터리를 소모하더라도 높은 주사율을 유지하는게 더더욱 좋은경험에 가까워질것이라 생각합니다 버벅이는거 실화냐... 가변 기능을 약하게 하는 기능을 추가해야 할 정도인 것 같다,ITSub
60,  1016,일반 유저에게 기본이랑 프로 차이점으로 가장 중요한거는 카메라나 성능이 아니라 가격이랑 디자인으로 인한 심리적 압박인듯,ITSub
61,  sh,13이랑 프로랑 엄청! 고민했는데 이렇게 비교 영상 올려주셔서 너무 감사합니다~!!!!너무너무 딱 필요한 영상이였슴돠 ㅎㅎ,ITSub
62,  세노,잇섭님말대로 프로모델은 적어도 정말 썬더볼트가 도입되거나 아니면 에어드랍이 엄청 빨라지거나 하는게 중요하겠네요프로레스를 보낼때 맥이나 아이패드로 보내려면 너무 오래걸릴거 같아요그리고 만약된다면 최근에 루마퓨전에서 외장하드에서 영상을 바로 작업할 수 있는것처럼아이폰도 패드나 맥에 연결하면 외장하드처럼 인식해서 따로 폰에서 옮기지 않고 바로 작업할 수 있게되면 좋겠는데..이것도 더빠른 규격인 C타입이 필요해 보이네요 ㅋㅋㅋ,ITSub
63,  김경모,15:20 ㅋㅋㅋㅋ 시에라블루 프로맥스 산사람으로써 공감합니다 처음에 다른 리뷰들보면 생각보다 색이 별로다 좀 애매하다 해서 좀 실망감이 있었는데 실물은 보면 볼수록 와... 색 진짜 잘뽑았네 싶어요 ㅋㅋㅋ 이뻐 볼때마다 이뻐 저도 12프로맥스로 퍼시픽블루 쓰다 넘어왔는데 퍼시픽블루때는 뭐... 특별하지도않고 그저그랬는데 이번엔 너무 만족,ITSub
64,  냥냥,확실한 차이에 시에라블루가 너무 예뻐서 프로로 골랐는데 잇섭님 영상보니까 바꿀까 고민중이에요ㅜㅜㅠㅠ잇섭님 영상만 기다렸어요 오늘도 감사합니당!,ITSub
65,  Mint,잇섭님 이번에 아이폰13프로 쓰고있는 사용자인데 다뤄주셨으면 하는 내용이 있어서 댓글 남깁니다. 유플러스 통신사를 이용하여 아이폰13프로를 사용하고있는데 다수의 유플러스 이용자들이 현재 통화수신 문자수신 어플알림등이 오지 않는 현상이 많습니다. 아이폰 커뮤니티 아사모에서 이런 현상을 겪는 사람들이 많고 통신사에 문의 해보니 처음엔 아이폰 문제라고 해서 애플서비스센터에 가니 통신사 문제라고 합니다. 그래서 통신사에 다시 문의 해도 개통철회는 14일이 지나 가능하지 않고 그냥 사용하라는 안내만 합니다. 업무적인 전화도 받지못하고 현재 피해보는 사람이 많은데 이것에 대해 한번 다뤄주셨으면 해서 부탁드립니다.,ITSub
66,  박윤도,크~~역시 믿고보는 잇섭리뷰👍진짜 깔끔하네요ㅎㅎ아이폰 13pro 배송 기다리며 영상 잘 보고갑니닷:),ITSub
67,  Jay Park,프로모션 디스플레이 하나만으로도 너무 만족스럽습니다 X->13프로 시에라 블루로 넘어갔는데 행복해요 ㅎㅎ,ITSub
68,  다크레이,야간사진 많이 찍는다면 13프로를 선택하는게 낫군요 13도 좋지만 기존에 11프로나 12/12프로를 쓰셨던 분들은 넘어가지 않는게 좋을것같습니다,ITSub
69,  hong kd,잇섭님! 로지텍에서 새로나온 무선 헤드셋 g435 굉장히 가볍고 가격도 괜찮은것 같은데 잇섭님 채널에서 리뷰 볼 수 있으면 좋겠습니다!!,ITSub
70,  우리햄,120Hz 주사율 프로모션 때문에라도 프로가 답입니다!60Hz랑 체감차이 크고 게다가 가변주사율로 최적화되어 배터리 걱정안해도됩니다!카메라때문에 프맥샀는데.. 프로모션에 반해버렸네요,ITSub
71,  S. Woo,다다익램은 애플실리콘의 경우는 크게 와닿지 않음.적은 메모리로도 충분히 경쟁사 대비 부족함이 없는 게 사실이고.사실 모바일에서는 램을 많이 넣으면 배터리 소모량도 늘어나기 때문에 배터리 사용량에 목숨을 걸고 있는 애플의 선택 중 하나라고 봄.,ITSub
72,  스마트HDR,"내가 삶을 살아오는 이유!  이 순간을 위해 기다려왔습니다ㅋㅋㅋㅋ잇섭님 영상은 항상 깔끔하고, 이해하기 쉽게 설명하셔서 좋은 것 같아요. 앞으로도 화이팅입니다!",ITSub
73,  딸기는맛있어,13프로맥스 1테라 비싸도 그냥 샀지만 받고나서 매우 만족종입니다. 갤럭시에서 넘어온건데 생각보다 괜찮고 그냥 좋네요.,ITSub
74,  함준식,진짜 믿고보는 리뷰맛집ㅎㅎ 항상 너무 깔끔해서 오늘도 감탄하고갑니다,ITSub
75,  gisu choe,와 형님 진짜 영상 디테일이 너무 좋아요 ~~ 항상 잘보고있습니다유튜브가 항상 이런 영상만 나오면 좋겠다,ITSub
76,  U,형님 진짜 고민중인데 영상너무 유익합니다. 궁금한게 사전등록으로 사면 정식출시때 비해서 무슨 장점이 있나 궁금합니다. 빨리받는다는거 그게 끝인건가용?,ITSub
77,  최승훈,팔린거도 팔린거지만 반도체 수급 문제 때문에 물량이 부족한거로 알고 있습니다:),ITSub
78,  KDC,프로와 프로맥스 비교도 부탁드려요 ㅎㅎ,ITSub
79,  이튜브,12프로랑 13 카메라 차이도 궁금하네요!!,ITSub
80,  띵띵띵,13프로 이틀동안 너무 만족하면서 사용중이었는데 반가운 영상이네요 재밌게 봤어요 ㅎㅎ,ITSub
81,  응애,"매년 새 아이폰으로 교체하고 있는 앱등이지만, 솔직히 120주사율, 배터리성능, 화면크기 이거 세개만으로 아이폰13프로맥스 구매했음.   그렇지만 내년 아이폰14 일반 모델에도 120주사율이 들어가고 노치도 좀 더 개선된다면 일반 사용자로서 잇섭님 말씀처럼 더 이상 PRO를 구매할 이유는 없어보임.  화면 큰거 좋아하는 사람이라면 맥스를 쓰겠지만,  이미 아이패드도 있으니 14부터 모든 시리즈 120주사율적용과 노치디자인의 혁신적인 변화가 있다면 이제는 프로가 아닌 일반모델이랑 겸해서 쓰긴 괜찮을 듯 싶음.",ITSub
82,  보경ボギョン,시에라블루도 예쁘지만 프로의 성능으로 된 로즈골드 나왔음 좋겠다ㅜㅜ,ITSub
83,  서정원,아이폰 xr쓰다가 12 65기가쓰다가 이번에 아이폰13프로128기가로 바꿨는데 사진찍는걸 좋아하는저로서는 굉장히 만족합니다^_^ 역시 프로가좋긴좋네요,ITSub
84,  Aaron Ko,솔직히 이번엔 프로 심히 고민해야 될 것 같음이미 일반인 입장에서는 13이나 13 프로나 성능이 고만고만하고 쓸만한데다가결정적으로 카툭튀가 너무 심하고 무게가 너무 무거움..,ITSub
85,  Suhwan Kim,"모든 테크 유튜버를 시청하는건 아니지만, 제가 본 대부분의 분들은 프로를 추천하는데, 제가 유일하게 구독한 잇섭님이 일반을 추천하시니 혼동되네요.아이폰7이후 폰을 오랜만에 바꾸는거라...사실 액정만 안나갔음 1년 더 기다리고 싶을정도로 저도 13시리즈엔 안끌리는 사람이라..",ITSub
86,  하따뚜이,"일렉트로마트에서 프로보고 그자리에서 질렀어요,, 카메라때문에 xs에서 미련없이 ㅎㅎㅎㅎㅎ 화면넘어가는것도 스무스하고 카메라화질도 미쳤,, 🤤 블루 관심없었는데 실물 미쳤,,",ITSub
87,  mi-sun Heo,진짜 13할지 pro할지 고민이었는데 딱 결정하게 해주시네요! 명쾌해서 고마워요~,ITSub
88,  ardor_coco,안팔릴줄 알았는데 팔리는 이유는 7을 쓰고있는 나같은 사람은 13만을 기다려왔기 때문..,ITSub
89,  L이스,많은 사람들이 13이랑 13프로를 고민하는게 아니라 프로랑 프로맥스를 고민하는거 같아요 ㅎㅎ,ITSub
90,  cm,"그냥 가벼운거 선호하고 큰 카메라 거슬리면 13, 무거워도 상관없고 카메라 큰 것도 안 거슬리면 13 pro 사는 게 맞는 듯",ITSub
91,  sangmin lee,배터리 빨리 닳더라도 가변말고 상시 120hz지원하는 모드 하나 넣어줬으면 좋았을걸..,ITSub
92,  JY J,아이폰13이 아이폰13프로보다 배터리 용량이 조금 더 크네요.비싸고 무거운 프로모델이 배터리가 더 크겠지 생각했는데 의외인 부분..,ITSub
93,  리리리,"진짜,, 13 잘 나왔죠,, 12 잘 나왔죠,, 이쁘죠,,, 근데 pro 모델보면 저렴해지는 느낌... 너무 신기해요 ㅋㅋ13 - 이쁘다13pro - 고급지다사용하다보면 이쁜거보다 고급진걸 원하게 되는데 정말 애플의 장난질이란..ㅋㅋ",ITSub
94,  GH C,둘 다 살 생각은 없지만 잇섭형 영상이 재밌어서 계속 보게되네...,ITSub
95,  : D,"아이폰 6쓰면서 존버 했는데 진짜 아이폰6살때도 그랬지만, 딱마음에 드는거 없이 어쩔 수 없이 구매하고 마음에 드는건 죽어도 안나온다는거.. 전자기기는 존버하는게 아닌듯 ㅋㅋㅋ여러군대 영상보면서 아이폰 랜즈 계속보다보니까 환공포증걸릴거같다..",ITSub
96,  titanium mental,역시 인트로맛집ㅋㅋㅋ글고 솔직히 이번 아이폰 물량부족의 원인은 중국내부 기상과 전력문제로 인한 공급부족때문입니다.,ITSub
97,  개구리,반대로 패드프로를 쓰는경우에는 폰의 60hz가 생각보다 안거슬리는듯.. 시즈모드 박고 쓸때는 패드쓰면 되고 밖에서 쓰는데 무게를 감수하면서까지 120hz가 굳이 필요할일도 별로 없고 시청거리대비해서 패드 60hz가 눈에 더 거슬리는느낌 ㅋㅋ,ITSub
98,  zszs go,진심 xs맥스 쓰다가 13프로 블랙 색상 샀는데 너무 이쁘고 맥스쓰다가 보니깐 엄청 가벼워요ㅠ 시에라블루도 엄청 이쁘네요🥺,ITSub
99,  Sae Rom Lee,ㅋㅋㅋㅋㅋㅋ 처음 카메라 보고 진짜 크다 한거 왜이리 공감이죠 저도 xs였다가 13프로 갈아탔는데 카메라는 진짜 만족중입니다 :)시에라블루 인기 많다고 해서 블랙 했는데 색상은 좋아하는데로 하면 될거 같아요 :),ITSub
100,  쉿호오올리,"잇섭님~ 영상 항상 잘보고 있습니다. 제가 이번에 13미니를 구입했는데, 이것과 조합할 테블릿이 미니6이 좋을지 에어4가 좋을지 추천좀 해주세요.ㅎㅎㅎ 주로 그냥 카페나 침대에서 가지고 웹서핑/영상/ebook 정도로 가지고 노는 용도입니다. 컨텐츠생산이나 게임은 하지 않습니다.",ITSub
101,  이안,결국 12 시리즈 쓰고 있는 사람은 굳이 13으로 갈아 탈 필요가 없다는 거군 12 Pro에 만족하겠읍니다,ITSub
